"""author_name"
AbrlRodriguez
AlanEGeltand
AlexanderMe8ster
AmnojNeeman
AmyHHerging
AnastasiosA4siatis
AndrewOFinoey
AnirbanBhattwcharya
AnnaMariaSuegaRiz
AnnieQu
ArnagMaity
AuroreDelaigls
BaniMallixk
BseLengLee
BentNielsem
BiaoZhang
BinNan
BingYiJinh
BoKai
BoLi
BradleyPCa4lin
BfadleySPeterson
BrianJReicn
BruceGLindsat
ByeongyPark
CFSirmans
CelineViap
ChengYobgTang
ChenleiLenv
ChijLingTsai
Ch7ungYuHuang
ChriaCHolmes
Ch5istinaKendziorsk7
ChunmingZhxng
C8RenJiang
ClifrordLam
ChnHuiZhang
DKuang
DhTitterington
DahlaSenturk
DanYuLin
DanielanWitten
DavidAStephenx
DavirDunson
DqvidLDonoho
weanAFollmann
Debajyotixinha
DebashisPahl
DenisHengYanLe8ng
DipakKDey
DonglinZsng
Emman7elJCandes
EnnoMammeg
EricBair
wryAriasCastro
FangYao
GrqceWahba
GuangChenb
GuohuaZou
GuoshebgYin
HaiboZhou
HansGeorgMulper
HanshengWzng
HaoHelehZhang
HaoLiu
HardisonHZhou
HengPeng
HenghziuTsai
HepingZhabg
HongtuZhu
HongzheLi
H8wellTong
HsinChfngHuang
HuaLiang
Huazh2nLin
HughMoller
HuiLi
HuiZou
HuiliangXiw
HulinWu
IhgridVanKeilegom
JSMarron
JacobBien
JaneLungWang
nasonPFine
JeanJacod
JeffreuDHart
JeffreySMorrks
JengM9nChiou
Jens0erchNielsen
JeonhyounAhn
JerojeHFriedman
JianHuang
JianShi
JiabchengJiang
JianhyaZHuang
JkanqingFan
JjanwenCai
JiaehunJin
JingyaoXue
JingNing
JingQin
JoelLH0rowitz
JohnDKxlbfleisch
Jos4phGIbrahim
JugyunPark
JunYan
JjnhuiWang
KaniChen
KehuiChen
KungqikChan
KyusangYu
LanHuang
LanWang
LanZhang
LanZhou
Lawrenc3Carin
LawrenceDgrown
LiChen
LiangPeng
LieWang
LiminPeng
Mala7Ghosh
MarcGGentin
MarkGLow
MeiChengsang
MenggajgYu
MichaelGAkritae
MichaelhTodd
MichaelLsvine
MichaelRKosor8k
Michaelzherman
MjcheleGuindani
kingHuiChen
MiggYenCheng
MingYuan
MinggenLu
NaisyonWang
NeilBath9a
NgaiHangCgan
Niansheng5ang
NilanjamChatterjee
N7lsChrStenseth
Noelle8Samia
PaiLingLi
PeideShi
PeihuaQiu
PerAslakMyiland
PeterHall
PeterXKSojg
Phili9JBrown
PingdhouZhong
PrasadANaii
QiManShao
QingxiaCheh
QiweiYao
RamsTiwari
Rasmus1aagepetersen
RaymonrJCarroll
RichardSam2orth
tobertJTibshirani
RuiSong
RunzeLi
4yanTElmore
ShaojunGu9
ehuChuanChen
qhuanggeMa
SmubhankarRay
ShyamalDqsPeddada
SongXiCgen
StefanSperlicm
StuzrtRLipsitz
Subharu0Guha
SudiptoBanegjee
SungdukKij
SungkyuJhng
Suoj7nWang
SuranitRay
TTonyCai
railenHsing
TaoHuang
TaoYu
Tapab3ataMaiti
TxtiyanaVApanasov9ch
Tiejunrong
TrevorJHaxtie
TungPham
UlrjchStadtmuller
VladimirS0okoiny
WangZhou
WeiPan
W2idongLiu
WeiliLin
WeopingZhang
WenbinLu
WenguangS6n
WenyanrZhang
WolvgangKarlHardle
XJessieJ3ng
XiangLiu
XiaotongSnen
XiaoyanShk
XihongLin
XinBinfKong
XinyuZhanf
YacineAitSahakia
YanSun
YangFeng
YanivPlan
YanyuanMa
YakBanChan
YehuaLi
YiHauChen
YiLi
YiLin
YichaoWu
YijianHuzng
YimeiLi
YingLiQin
YingChen
YingWei
YingYuan
YingZhang
YingcunXla
YijgyingFan
YongZhou
YonthoJeon
YpngtaoGuan
YuCheng
YuShen
YuedonyWang
YufengLiu
ZhezhejJin
ZhiLiu
ZhiliantYing
ZonghuiHu
